name,lens_type,thickness_centre,thickness_edge,diameter,power,front_radius,back_radius,refractive_index,power_calculated
LB_1409,biconvex,2.2,2.0,25.6,1.0,1029.8,-1029.8,1.515,1.0001942124684402
LB_1869,biconvex,2.3,2.0,25.6,2.0,514.7,-514.7,1.515,2.001165727608315
LB_1056_1,biconvex,2.6,2.0,25.6,4.0,257.1,-257.1,1.515,4.006223259432127
LE_1234,convex-concave,3.6,2.0,25.6,10.0,-82.2,-32.1,1.515,9.77840689451304
LE_1156,convex-concave,3.3,2.0,25.6,8.0,-106.9,-40.6,1.515,7.867142534572616
LE_1104,convex-concave,3.1,2.0,25.6,6.7,-131.6,-49.1,1.515,6.575424510489725
LE_1202,convex-concave,2.8,2.0,25.6,5.0,-182.2,-66.2,1.515,4.952891978205283
LB_1945,biconvex,2.8,2.0,25.6,5.0,205.6,-205.6,1.515,5.009727626459142
LB_1056,biconvex,2.6,2.0,25.6,4.0,257.1,-257.1,1.515,4.006223259432127
LB_1779,biconvex,2.5,2.0,25.6,3.3,308.6,-308.6,1.515,3.3376539209332456
LB_1471,biconvex,5.2,2.0,25.6,20.0,50.6,-50.6,1.515,20.355731225296400
LB_1757,biconvex,7.7,2.0,25.6,33.3,29.5,-29.5,1.515,34.91525423728813